File.accession	File.format	Output.type	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Assembly	Platform	Controlled.by	File.Status	Restricted	Audit.WARNING	Audit.INTERNAL_ACTION	Audit.NOT_COMPLIANT	Audit.ERROR
ENCFF057ZUY	bed narrowPeak	optimal idr thresholded peaks	ENCSR808AKZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BCOR-human	DNA					False	2016-09-01	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF279NYK, ENCFF636VOC, ENCFF763UFC	794464	ENCODE Processing Pipeline	eb1f9eb14541c9c86ab5f62539332276		https://www.encodeproject.org/files/ENCFF057ZUY/@@download/ENCFF057ZUY.bed.gz	hg19			released	NA				
ENCFF296CNQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				POLR2AphosphoS2-human	DNA		see document	see document		False	2012-05-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF039RTS, ENCFF388ATO, ENCFF932UHC	185689	ENCODE Processing Pipeline	96912e3d9f88029951abcd019f3a5721		https://www.encodeproject.org/files/ENCFF296CNQ/@@download/ENCFF296CNQ.bed.gz	hg19			released	NA	inconsistent target of control experiment, low read depth, low read length	biological replicates with identical biosample		
ENCFF062ARS	bed narrowPeak	optimal idr thresholded peaks	ENCSR272JAT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CBX5-human	DNA		see document	see document		False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF361FQK, ENCFF843XJF, ENCFF978SSL	127162	ENCODE Processing Pipeline	169dba7b829155124d33176148608d77		https://www.encodeproject.org/files/ENCFF062ARS/@@download/ENCFF062ARS.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth			
ENCFF574LAO	bed narrowPeak	optimal idr thresholded peaks	ENCSR213VUI	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM25-human	DNA					False	2016-10-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF079BRC, ENCFF629PBS, ENCFF993AXA	107127	ENCODE Processing Pipeline	5df7ecbbd51099a146da54647bf22ee6		https://www.encodeproject.org/files/ENCFF574LAO/@@download/ENCFF574LAO.bed.gz	hg19			released	NA	borderline replicate concordance			
ENCFF319BCP	bed narrowPeak	optimal idr thresholded peaks	ENCSR740NPG	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-BACH1-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF469YOH, ENCFF772XDS, ENCFF820FCA	249611	ENCODE Processing Pipeline	1a3945bf43921b404e8afa5fea99ca48		https://www.encodeproject.org/files/ENCFF319BCP/@@download/ENCFF319BCP.bed.gz	hg19			released	NA	missing genetic modification characterization			
ENCFF644WLI	bed narrowPeak	optimal idr thresholded peaks	ENCSR608XTF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	DNA					False	2016-11-17	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF059LBQ, ENCFF134OWN, ENCFF789DUE	740515	ENCODE Processing Pipeline	4a0a8623e3cb7340dd9ced9610ab18e2		https://www.encodeproject.org/files/ENCFF644WLI/@@download/ENCFF644WLI.bed.gz	hg19			released	NA	borderline replicate concordance, mild to moderate bottlenecking, inconsistent platforms			
ENCFF484DKT	bed narrowPeak	optimal idr thresholded peaks	ENCSR948QLZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CBX1-human	DNA					False	2016-02-05	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF135TJX, ENCFF491AYX, ENCFF908UOT	257946	ENCODE Processing Pipeline	4ef8751c301c235ed067836ca888b02b		https://www.encodeproject.org/files/ENCFF484DKT/@@download/ENCFF484DKT.bed.gz	hg19			released	NA	antibody characterized with exemption, low read depth			
ENCFF561USY	bed narrowPeak	optimal idr thresholded peaks	ENCSR230PTV	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZBTB2-human	DNA					False	2016-12-19	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF537WGM, ENCFF551YGS, ENCFF621XGF	336516	ENCODE Processing Pipeline	4c12ec35960c97bf65d22a7ac9ebd2cf		https://www.encodeproject.org/files/ENCFF561USY/@@download/ENCFF561USY.bed.gz	hg19			released	NA	antibody characterized with exemption			
ENCFF134CUM	bed narrowPeak	optimal idr thresholded peaks	ENCSR119VCX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				PHF21A-human	DNA					False	2017-09-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF452MJW, ENCFF700GJA, ENCFF776LQY	168516	ENCODE Processing Pipeline	b52e0fd32c00468eb65ad29e0e7bf9b6		https://www.encodeproject.org/files/ENCFF134CUM/@@download/ENCFF134CUM.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth			
ENCFF714XHL	bed narrowPeak	optimal idr thresholded peaks	ENCSR583ACG	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BRD4-human	DNA					False	2017-01-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF118EOA, ENCFF267CBS, ENCFF875ITP	153694	ENCODE Processing Pipeline	cfcf61727521d15bd154f71181a11674		https://www.encodeproject.org/files/ENCFF714XHL/@@download/ENCFF714XHL.bed.gz	hg19			released	NA	control low read depth, inconsistent platforms			
ENCFF122QSN	bed narrowPeak	optimal idr thresholded peaks	ENCSR112RNT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPLL-human	DNA			SDS	formaldehyde	False	2017-12-01	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF343RFS, ENCFF433KJT, ENCFF657LPF	273665	ENCODE Processing Pipeline	45e71ff27266791196cebd444eafddf2		https://www.encodeproject.org/files/ENCFF122QSN/@@download/ENCFF122QSN.bed.gz	hg19			released	NA	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF858QMI	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BRW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM28-human	DNA		see document	see document		False	2012-09-10	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF140YDA, ENCFF700BWV, ENCFF721WZY	243606	ENCODE Processing Pipeline	d4d2b801157ddbdfb7166fcf31bbfb22		https://www.encodeproject.org/files/ENCFF858QMI/@@download/ENCFF858QMI.bed.gz	hg19			released	NA	borderline replicate concordance, inconsistent platforms, low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	out of date analysis, biological replicates with identical biosample, inconsistent mapped reads lengths	insufficient read depth	
ENCFF030QEM	bed narrowPeak	optimal idr thresholded peaks	ENCSR000DJW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-NR4A1-human	DNA		see document	see document		False	2011-06-03	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF368NGK, ENCFF585FBZ, ENCFF771WFB	18193	ENCODE Processing Pipeline	14a3d6885148fb51f43bf238a190ef3c		https://www.encodeproject.org/files/ENCFF030QEM/@@download/ENCFF030QEM.bed.gz	hg19			released	NA	missing genetic modification characterization, low read depth, low read length		insufficient replicate concordance	
ENCFF821VBM	bed narrowPeak	optimal idr thresholded peaks	ENCSR626QJQ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CSDE1-human	DNA					False	2016-09-01	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF087GPO, ENCFF377LWJ, ENCFF669FWC	40796	ENCODE Processing Pipeline	4c2f9aa249bf5ca54365ab220deeccc7		https://www.encodeproject.org/files/ENCFF821VBM/@@download/ENCFF821VBM.bed.gz	hg19			released	NA	borderline replicate concordance			
ENCFF557DSM	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EWF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				YY1-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF211PND, ENCFF228AYO, ENCFF899XEM	93049	ENCODE Processing Pipeline	cf8ffec94a9b83f40812443c565a6a17		https://www.encodeproject.org/files/ENCFF557DSM/@@download/ENCFF557DSM.bed.gz	hg19			released	NA	borderline replicate concordance	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF768TJI	bed narrowPeak	optimal idr thresholded peaks	ENCSR296MXW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPUL1-human	DNA			SDS	formaldehyde	False	2017-02-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF036VGX, ENCFF648RFW, ENCFF788AWO	22390	ENCODE Processing Pipeline	00fee95f4f1764d51955ea63e1ac41fe		https://www.encodeproject.org/files/ENCFF768TJI/@@download/ENCFF768TJI.bed.gz	hg19			released	NA	low read depth, low read length			
ENCFF784FIE	bed narrowPeak	optimal idr thresholded peaks	ENCSR325DER	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NR3C1-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF037BJD, ENCFF261TNJ, ENCFF793DLG	46890	ENCODE Processing Pipeline	27585931a99c4d1c463cb076f662bc3b		https://www.encodeproject.org/files/ENCFF784FIE/@@download/ENCFF784FIE.bed.gz	hg19			released	NA	low read depth, moderate library complexity, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF213EPU	bed narrowPeak	optimal idr thresholded peaks	ENCSR486IFJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ESRRA-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF106AUG, ENCFF406YGF, ENCFF619KMH	592333	ENCODE Processing Pipeline	bfd05e28fd40d1e2a57b194812d2950e		https://www.encodeproject.org/files/ENCFF213EPU/@@download/ENCFF213EPU.bed.gz	hg19			released	NA	low read depth, moderate library complexity, mild to moderate bottlenecking			
ENCFF987VNY	bed narrowPeak	optimal idr thresholded peaks	ENCSR138FUZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF032IBC, ENCFF230YWY, ENCFF617ITM	90032	ENCODE Processing Pipeline	f36811713a2ca68357a6462a9526b2a4		https://www.encodeproject.org/files/ENCFF987VNY/@@download/ENCFF987VNY.bed.gz	hg19			released	NA	borderline replicate concordance, low read length, mild to moderate bottlenecking			
ENCFF359QCN	bed narrowPeak	optimal idr thresholded peaks	ENCSR786OQY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZBTB5-human	DNA					False	2017-07-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF477OXP, ENCFF813QIG, ENCFF901ECC	93421	ENCODE Processing Pipeline	7d36f0239138fa8ed42599cdb4431be9		https://www.encodeproject.org/files/ENCFF359QCN/@@download/ENCFF359QCN.bed.gz	hg19			released	NA	antibody characterized with exemption			
ENCFF937VZI	bed narrowPeak	optimal idr thresholded peaks	ENCSR031TFS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				POLR2A-human	DNA					False	2016-09-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF612BZJ, ENCFF670NDN, ENCFF763UDO	484306	ENCODE Processing Pipeline	42f2932c2c3ab72016c12df15687dfd1		https://www.encodeproject.org/files/ENCFF937VZI/@@download/ENCFF937VZI.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF696KPD	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BRR	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				STAT5A-human	DNA		see document	see document		False	2012-02-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF373WLW, ENCFF556KAN, ENCFF562UJV	241687	ENCODE Processing Pipeline	c7fe8f342e3192db1d65922e864f8c7e		https://www.encodeproject.org/files/ENCFF696KPD/@@download/ENCFF696KPD.bed.gz	hg19			released	NA	borderline replicate concordance, low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF002CXT	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EHQ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				POLR3G-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA		NA	NA	NA		NA			4627	ENCODE Consortium Analysis Working Group	bda0160eadd3d7e99ccac755fa0b2e2c		https://www.encodeproject.org/files/ENCFF002CXT/@@download/ENCFF002CXT.bed.gz	hg19			released	NA		biological replicates with identical biosample, missing derived_from	insufficient read length	
ENCFF632NQI	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				GATA1-human	DNA		see document	see document		False	2012-08-20	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF234GQW, ENCFF253DCO, ENCFF916MQB	261856	ENCODE Processing Pipeline	e0454bcca2f35d6ec9a1ad5aca4d6ebc		https://www.encodeproject.org/files/ENCFF632NQI/@@download/ENCFF632NQI.bed.gz	hg19			released	NA	borderline replicate concordance, inconsistent target of control experiment, low read depth, low read length, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF602CFZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR011NOZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF407-human	DNA					False	2016-11-10	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF067DNS, ENCFF370RXL, ENCFF904CJM	97867	ENCODE Processing Pipeline	514af67301c0f065646dccd0e7160e69		https://www.encodeproject.org/files/ENCFF602CFZ/@@download/ENCFF602CFZ.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth			
ENCFF809OEX	bed narrowPeak	optimal idr thresholded peaks	ENCSR494PWZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZC3H8-human	DNA					False	2016-10-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF137UEG, ENCFF235YVR, ENCFF285TLP	234269	ENCODE Processing Pipeline	cf047d7e1a2046e2cde2bfe08ea658a4		https://www.encodeproject.org/files/ENCFF809OEX/@@download/ENCFF809OEX.bed.gz	hg19			released	NA	borderline replicate concordance			
ENCFF284VUQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	Interferon gamma		6.0 hour	IRF1-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF074NOU, ENCFF456MUP, ENCFF998DOG	247503	ENCODE Processing Pipeline	c4f00a8ce99ea04dbc4ba77382440ed9		https://www.encodeproject.org/files/ENCFF284VUQ/@@download/ENCFF284VUQ.bed.gz	hg19			released	NA	control low read depth, low read depth, low read length, mixed read lengths	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF613RNG	bed narrowPeak	optimal idr thresholded peaks	ENCSR851BNE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MEIS2-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF327DRE, ENCFF509UMD, ENCFF697BKG	825829	ENCODE Processing Pipeline	5a8a7a2c1d04e8655631cd819f8e4127		https://www.encodeproject.org/files/ENCFF613RNG/@@download/ENCFF613RNG.bed.gz	hg19			released	NA	mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF248IWJ	bed narrowPeak	optimal idr thresholded peaks	ENCSR388QZF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				POLR2A-human	DNA					False	2016-09-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF109VMO, ENCFF157PBO, ENCFF656WXD	771608	ENCODE Processing Pipeline	5483386eae2504c8c9ca1e71d470c6a3		https://www.encodeproject.org/files/ENCFF248IWJ/@@download/ENCFF248IWJ.bed.gz	hg19			released	NA	low read depth			
ENCFF744SVC	bed narrowPeak	optimal idr thresholded peaks	ENCSR674SCQ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ZNF354B-human	DNA					False	2017-02-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF225EQY, ENCFF228ORA, ENCFF849XOM	92239	ENCODE Processing Pipeline	640dd68dc008f1df30cb7d6f32a82845		https://www.encodeproject.org/files/ENCFF744SVC/@@download/ENCFF744SVC.bed.gz	hg19			released	NA	missing genetic modification characterization, mild to moderate bottlenecking			
ENCFF211XFR	bed narrowPeak	optimal idr thresholded peaks	ENCSR143CEO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZC3H8-human	DNA					False	2017-06-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF230KHP, ENCFF355RVT, ENCFF851WZS	69733	ENCODE Processing Pipeline	0a05524bb22b50aa0ce9e290ebb1f21a		https://www.encodeproject.org/files/ENCFF211XFR/@@download/ENCFF211XFR.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth			
ENCFF708BTH	bed narrowPeak	optimal idr thresholded peaks	ENCSR949NVY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF639-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF530RTW, ENCFF755JDJ, ENCFF765UQI	319090	ENCODE Processing Pipeline	c398b933bc4c8d8b03045d41ec90fb85		https://www.encodeproject.org/files/ENCFF708BTH/@@download/ENCFF708BTH.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF495CSO	bed narrowPeak	optimal idr thresholded peaks	ENCSR119ULQ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NCOA4-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF048BXR, ENCFF347OPC, ENCFF605EKW	59229	ENCODE Processing Pipeline	83e3f77aa68bfdcc985baff44820a155		https://www.encodeproject.org/files/ENCFF495CSO/@@download/ENCFF495CSO.bed.gz	hg19			released	NA	borderline replicate concordance, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF667HLC	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BMG	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC2-human	DNA		see document	see document		False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF246ENE, ENCFF336UZW, ENCFF735NAF	160465	ENCODE Processing Pipeline	ee3222ea4ba9e0e28d04252bf3caeb15		https://www.encodeproject.org/files/ENCFF667HLC/@@download/ENCFF667HLC.bed.gz	hg19			released	NA	control low read depth, low read length, mild to moderate bottlenecking	biological replicates with identical biosample	poor library complexity, severe bottlenecking	extremely low read depth
ENCFF067LIW	bed narrowPeak	optimal idr thresholded peaks	ENCSR138SFL	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MCM2-human	DNA					False	2017-11-13	ENCODE	NA	NA	NA	1, 3	NA	NA	NA		NA		ENCFF001TDO, ENCFF618BMZ, ENCFF640CQW, ENCFF741JEM	8712	ENCODE Processing Pipeline	3eb34480957ee92672d0d8d3fcf633bc		https://www.encodeproject.org/files/ENCFF067LIW/@@download/ENCFF067LIW.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth, mild to moderate bottlenecking	experiment not submitted to GEO		
ENCFF573GQX	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EZX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		6.0 hour	JUN-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF041POZ, ENCFF605EZB, ENCFF829NXG	84349	ENCODE Processing Pipeline	abed910a74ad73f3c1db21033f7275f3		https://www.encodeproject.org/files/ENCFF573GQX/@@download/ENCFF573GQX.bed.gz	hg19			released	NA	control low read depth	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF820EVZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR142YYA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EWSR1-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF552VIT, ENCFF789TXE, ENCFF874KMM	34572	ENCODE Processing Pipeline	b8fa23f2583309d50424112c5abc17ab		https://www.encodeproject.org/files/ENCFF820EVZ/@@download/ENCFF820EVZ.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth, moderate library complexity, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF545RHH	bed narrowPeak	optimal idr thresholded peaks	ENCSR532EMP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ZNF740-human	DNA					False	2016-08-24	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF415MTB, ENCFF606TEA, ENCFF996DAB	114029	ENCODE Processing Pipeline	5ba0b64c3abc78bf61a940ba47b5cb4f		https://www.encodeproject.org/files/ENCFF545RHH/@@download/ENCFF545RHH.bed.gz	hg19			released	NA	missing genetic modification characterization, mild to moderate bottlenecking			
ENCFF142CPK	bed narrowPeak	optimal idr thresholded peaks	ENCSR051DXE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				FUS-human	DNA			SDS	formaldehyde	False	2017-02-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF192IFJ, ENCFF530LEM, ENCFF644TNS	51659	ENCODE Processing Pipeline	9d78627b43ad26ec1f1ea21705cd7c92		https://www.encodeproject.org/files/ENCFF142CPK/@@download/ENCFF142CPK.bed.gz	hg19			released	NA	low read depth, low read length			
ENCFF838COI	bed narrowPeak	optimal idr thresholded peaks	ENCSR360HRA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM1A-human	DNA					False	2016-10-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF331TXU, ENCFF490XLD, ENCFF499UMV	629731	ENCODE Processing Pipeline	29b3f9c5729c3aa115f9cfa92da97076		https://www.encodeproject.org/files/ENCFF838COI/@@download/ENCFF838COI.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF370ENX	bed narrowPeak	optimal idr thresholded peaks	ENCSR796ITY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NFIC-human	DNA					False	2017-05-17	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF292SNP, ENCFF351DKB, ENCFF754CMK	878417	ENCODE Processing Pipeline	c5c8948cb0e3434da4fa620f09ef9812		https://www.encodeproject.org/files/ENCFF370ENX/@@download/ENCFF370ENX.bed.gz	hg19			released	NA	mild to moderate bottlenecking, inconsistent platforms			
ENCFF126BCK	bed narrowPeak	optimal idr thresholded peaks	ENCSR928KOR	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				GMEB1-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF154QJU, ENCFF369BMF, ENCFF942IAL	511446	ENCODE Processing Pipeline	8d0ce916d80715cec4752c1a6f79bd30		https://www.encodeproject.org/files/ENCFF126BCK/@@download/ENCFF126BCK.bed.gz	hg19			released	NA		experiment not submitted to GEO	partially characterized antibody	
ENCFF738WCE	bed narrowPeak	optimal idr thresholded peaks	ENCSR908CMW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM1A-human	DNA					False	2016-09-20	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF770MXX, ENCFF797FYJ, ENCFF799KLQ	836134	ENCODE Processing Pipeline	f68cd3bad39ffbc3f6ceba8dd9405852		https://www.encodeproject.org/files/ENCFF738WCE/@@download/ENCFF738WCE.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF616LVN	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FCB	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MITF-human	DNA		see document	see document		False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF175RNO, ENCFF373SQY, ENCFF472YHR	130606	ENCODE Processing Pipeline	b10e96e443b6ef583669219f71f72a11		https://www.encodeproject.org/files/ENCFF616LVN/@@download/ENCFF616LVN.bed.gz	hg19			released	NA	antibody characterized with exemption, low read depth			
ENCFF679ITJ	bed narrowPeak	optimal idr thresholded peaks	ENCSR990AZC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MCM3-human	DNA					False	2016-09-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF260MCD, ENCFF262RPX, ENCFF530ETK	53864	ENCODE Processing Pipeline	4809a1434ba955b7c1164f4b9f572b67		https://www.encodeproject.org/files/ENCFF679ITJ/@@download/ENCFF679ITJ.bed.gz	hg19			released	NA				
ENCFF580DYE	bed narrowPeak	optimal idr thresholded peaks	ENCSR024LKA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC3-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF275SGC, ENCFF883NAR, ENCFF932HNN	203383	ENCODE Processing Pipeline	7d4031c85c21101f3842c25c04a662c7		https://www.encodeproject.org/files/ENCFF580DYE/@@download/ENCFF580DYE.bed.gz	hg19			released	NA	borderline replicate concordance, moderate library complexity, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF010UHD	bed narrowPeak	optimal idr thresholded peaks	ENCSR968GIB	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RFX1-human	DNA					False	2016-09-20	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF163OZR, ENCFF733TAS, ENCFF786DOF	347670	ENCODE Processing Pipeline	807a6c046733e6afc5f75fcff16832d9		https://www.encodeproject.org/files/ENCFF010UHD/@@download/ENCFF010UHD.bed.gz	hg19			released	NA	moderate library complexity, mild to moderate bottlenecking			
